food_number,food_name,types_cooking,ingredient_main,ingredient_sub,seasoning,national_classification,kcal
1,견과류 영양솥밥,"밥,죽,스프","백미 1과3/4컵, 은행 12개, 밤 8개, 대추 4개, 잣 1큰술",물 1과3/4컵,,한식,311kcal
2,굴밥,"밥,죽,스프","굴 300g, 쌀 200g, 보리쌀 80g","어묵(찐것) 50g, 표고버섯 3장, 당근 50g, 완두콩(통조림) 30g, 물 1과1/2컵",소금 1작은술,한식,320kcal
3,김치볶음밥,"밥,죽,스프","김치(잘게썬것) 1/3포기, 밥 2공기","감자 1/4개, 양파 1/2개, 햄 60g, 식용유 약간, 계란 2개","소금 약간, 후춧가루 약간",한식,560kcal
4,꽃상추쌈,"밥,죽,스프","상추 4장, 밥 1그릇","다진쇠고기 100g, 다진양파 1/2개","간장 1큰술, 설탕 1/2큰술, 다진파 약간, 다진마늘 약간, 깨소금 약간, 참기름 약간, 고추장 약간",한식,352kcal
5,녹두죽,"밥,죽,스프","녹두 1컵, 쌀 2컵",물 14컵,"소금 약간, 설탕 약간",한식,280kcal
6,단팥죽,"밥,죽,스프","팥 2컵, 설탕 2컵, 인절미 100g, 소금 약간","물 10컵, 대추 1개",,한식,166kcal
7,달래간장과 모둠버섯밥,"밥,죽,스프","표고버섯 2장, 팽이버섯 1봉, 느타리버섯 20g, 양송이버섯 2개, 새송이버섯 1개, 쌀 100g","달래 10g, 간장 1큰술, 고춧가루 1작은술, 참기름 약간, 깨소금 약간",,한식,451kcal
8,닭날개주먹밥,"밥,죽,스프","찹쌀 2/3컵씩, 멥쌀 2/3컵씩, 닭날개 10개",흑임자 약간,"소금 약간, 간장 2큰술, 청주 1큰술, 설탕 1과1/2큰술, 물 3큰술",한식,480kcal
9,닭안심죽,"밥,죽,스프","닭(안심) 50g, 찬밥 1/2공기","물 2/3컵, 옥수수통조림 1큰술, 팽이버섯 약간, 버터 1작은술","소금 약간, 후춧가루 약간",한식,270kcal
10,대구계란죽,"밥,죽,스프","대구(살) 50g, 쌀(가루) 1/2컵","계란노른자 1개, 대파 1/4뿌리, 물 약간",멸치 5마리,한식,260kcal
11,돌솥비빔밥,"밥,죽,스프","애호박 60g, 취나물 60g, 시금치 60g, 고사리 60g, 육회 60g","도라지 60g, 숙주 60g, 상추 6잎, 계란후라이 2개","다진파 약간, 다진마늘 약간, 깨소금 약간, 후춧가루 약간, 참기름 약간, 설탕 약간, 고추장 약간",한식,521kcal
12,두부밥부침,"밥,죽,스프","두부 1모, 찬밥 1/2공기","양파 1/2개, 당근 1/3개, 대파 1/2뿌리","마늘 2개, 소금 약간, 후춧가루 약간, 계란 1개, 밀가루 3큰술, 맛술 약간",한식,220kcal
13,무죽,"밥,죽,스프","무 1/4개, 쌀 1/2컵","소금 약간, 참기름 약간, 깨소금 약간",,한식,295kcal
14,무청밥,"밥,죽,스프","불린쌀 1과1/2컵, 무청 삶은 것(시래기) 80g, 물 1과1/2컵","간장 1작은술, 참기름 1작은술",,한식,298kcal
15,미니김밥,"밥,죽,스프","쌀 1컵, 김 3장, 계란 3개",대파 1/2대,"참기름 약간, 깨소금 약간, 소금 약간",한식,357kcal
16,버섯덮밥,"밥,죽,스프","밥 4공기, 쇠고기(우둔) 80g, 느타리버섯 100g, 표고버섯 3장, 양송이버섯 3개, 목이버섯 6장, 팽이버섯 1/2봉지","양파 1/2개, 당근 1/3개, 미나리 3줄기","간장 2큰술, 들깨 1큰술, 육수 약간, 녹말 2큰술, 참기름 1작은술, 후춧가루 약간, 간장 2작은술, 설탕 1작은술, 청주 1~2큰술, 다진마늘 약간",한식,480kcal
17,버섯죽,"밥,죽,스프","쌀 100g, 버섯 40g",김 약간,"참기름 2큰술, 소금 약간, 조미료 약간",한식,276kcal
18,새우죽,"밥,죽,스프","쌀 1컵, 새우 200g",물 6컵,"소금 약간, 참기름 약간",한식,278kcal
19,색색주먹밥,"밥,죽,스프","밥 2공기, 쇠고기(다진것) 100g, 김치 100g, 후리가께 약간","김 약간, 무순 약간","참기름 1작은술, 소금 1작은술, 간장 1큰술, 설탕 2큰술, 다진파 2작은술, 다진마늘 1작은술, 참기름 2작은술, 치즈 약간, 후춧가루 1/2작은술, 깨소금 1/2작은술",한식,365kcal
20,송어상추까나페,"밥,죽,스프",송어(슬라이스) 1마리,"상추 약간, 콩가루 약간, 밥 약간","참기름 약간, 깨소금 약간, 초고추장 약간",한식,113kcal
21,쇠고기김치말이,"밥,죽,스프","쇠고기 400g, 밥 1공기, 김치 200g","양파 30g, 당근 30g, 피망 20g, 검은깨 약간","소금 약간, 후춧가루 약간",한식,352kcal
22,쇠고기김치말이밥,"밥,죽,스프","쇠고기(안심) 300g, 찬밥 1/2공기, 김치 50g","양파 1/4개, 피망 1/4개, 당근 1/4개","소금 1/2작은술, 후춧가루 1/4작은술",한식,432kcal
23,쇠고기덮밥,"밥,죽,스프","쇠고기 100g, 밥 1공기","양파 1/2개, 대파 1뿌리, 표고버섯 1개","다진마늘 약간, 간장 2큰술, 맛술 1큰술, 설탕 2/3큰술, 소금 약간, 참기름 약간, 후춧가루 약간, 깨소금 약간",한식,396kcal
24,쇠고기말이밥,"밥,죽,스프","쇠고기(샤브샤브용) 200g, 밥 1공기","시금치 20g, 오이피클 20g, 녹말가루 약간","소금 약간, 참기름 약간, 깨소금 약간, 설탕 약간, 마늘 2쪽, 후추 약간",한식,412kcal
25,수삼영양밥,"밥,죽,스프","수삼 1뿌리, 찹쌀 1/2컵, 멥쌀 1/2컵, 흑미 30g, 차조 20g","밥 3~4알, 대추 4알, 완두콩 약간",꿀 2큰술,한식,458kcal
26,시금치된장죽,"밥,죽,스프","쌀 1컵, 시금치 30g",쇠고기(우둔) 15g,"일본된장 1큰술, 다시마 1장, 참기름 약간, 가쓰오브시 약간",한식,185kcal
27,양송이버섯죽,"밥,죽,스프","찹쌀 1컵, 양송이버섯 5개","호박 50g, 실파 3뿌리, 당근 30g, 깻잎 3장, 양파 1/3개","참기름 1큰술, 물 6컵, 깨소금 1큰술, 소금 1작은술",한식,224kcal
28,오곡밥쌈밥정식,"밥,죽,스프","오곡곡물 2컵, 상추(쌈용) 약간, 깻잎 약간, 치커리 약간","참기름 약간, 양파 1/2개, 청고추 2개, 홍고추 1개, 대파 1/2뿌리, 멸치 30g","된장 1/2컵, 고추장 1/4컵, 마늘 3쪽, 깨소금 약간",한식,350kcal
29,오곡주먹밥,"밥,죽,스프","찹쌀 40g, 쌀 40g","팥 20g, 수수 30g, 쇠고기(우둔) 20g, 김 1장, 미나리 2줄기, 조 30g, 콩 30g","간장 약간, 참기름 약간, 후춧가루 약간, 깨소금 약간",한식,349kcal
30,옥수수죽,"밥,죽,스프","스위트콘 1캔, 쌀 1컵","물 4컵, 실파 1뿌리","소금 약간, 참기름 약간",한식,264kcal
31,우렁된장쌈밥,"밥,죽,스프",우렁 100g,"호박 100g, 양파 1/2개, 고추 2개, 대파 약간, 밥 2공기","된장 2큰술, 고춧가루 2큰술, 국멸치 갈은것",한식,350kcal
32,우엉시금치죽,"밥,죽,스프","우엉 15cm, 당근 10cm, 시금치 50g, 쌀(불린 것) 1과1/2컵",물 5컵,"소금 약간, 참기름 약간",한식,198kcal
33,웰빙비빔밥,"밥,죽,스프",보리밥 400g,"콩나물 120g, 부추 40g, 김가루 약간, 다진양파 20g","소금 약간, 들기름 2큰술, 쌈장 1큰술, 고추장 1큰술, 고춧가루 약간, 식초 약간, 설탕 약간, 간장 1/2큰술, 청양고추 1개, 다진마늘 약간",한식,412kcal
34,전복죽,"밥,죽,스프","전복 1개, 쌀 1컵","물 5컵, 실파 약간, 김 약간","참기름 약간, 소금 약간, 깨소금 약간",한식,275kcal
35,죽순죽,"밥,죽,스프","쌀 2컵, 죽순 120g",쇠고기(우둔) 80g,"간장 2큰술, 진간장 약간, 물 8컵, 설탕 1작은술, 깨소금 약간, 통후추 약간, 참기름 약간",한식,230kcal
36,참치김초밥,"밥,죽,스프","김 6장, 참치통조림 1캔, 밥 6공기","시금치(삶아양념한것) 50g, 당근(볶은것) 50g, 단무지 50g, 계란말이 50g, 깻잎 12장, 우엉(조린것) 50g","설탕 4큰술, 소금 1큰술, 식초 4큰술",한식,423kcal
37,참치주먹밥,"밥,죽,스프","참치통조림 1캔, 밥 2공기","단무지 15g, 후리카케 4큰술, 김 1장","참기름 약간, 깨소금 약간",한식,385kcal
38,참치죽,"밥,죽,스프","밥 2공기, 참치캔 1개",대파 1/3개,참기름 약간,한식,260kcal
39,참치죽,"밥,죽,스프","참치통조림 1캔, 불린쌀 1컵","당근 1/3개, 감자 1개, 표고버섯 2장, 실파 2줄기, 물 5컵, 다시마(10cm x 10cm) 1장, 애호박 1/3개","참기름 약간, 국간장 약간, 깨소금 약간",한식,296kcal
40,채소영양밥,"밥,죽,스프","쌀 2컵, 대추 6알, 밤 3톨, 은행 6알, 느타리버섯 60g, 스위트콘 1캔",물 2컵,소금 약간,한식,362kcal
41,콩가루찬밥지짐이,"밥,죽,스프","밥 2공기, 콩가루 2큰술","당근 1/4개, 청피망 1/4개, 홍피망 1/4개, 계란 1개","참기름 1작은술, 소금 약간",한식,356kcal
42,콩나물국밥,"밥,죽,스프","밥 4공기, 콩나물 300g","김치 200g, 다진마늘 1큰술, 실파 1뿌리, 장조림 80g, 청고추 2개, 깨소금 1큰술, 김 2장, 계란 4개, 쇠고기육수 2컵",새우젓 약간,한식,367kcal
43,콩나물무밥,"밥,죽,스프","쌀 2컵, 콩나물 500g, 무 1/5개","물 1과 1/3컵, 돼지고기(뒷다리살) 150g, 참기름 2큰술, 취나물 150g","진간장 6큰술, 다진파 2큰술, 다진마늘 1와1/2큰술, 깨소금 1큰술, 다진풋고추 1큰술",한식,400kcal
44,콩나물밥,"밥,죽,스프","쌀 2컵, 콩나물 300g, 쇠고기 100g","파 1/2개, 마늘 2쪽, 참기름 1큰술, 깨소금 1큰술, 고춧가루 약간, 진간장 4큰술, 소금 약간, 통후추 약간",,한식,401kcal
45,키조개나물밥,"밥,죽,스프","키조개 1개, 머위 20g","취 20g, 씀바귀 20g, 쌀(불린것) 2컵, 물 2컵","[양념장] 풋마늘 1/4대, 간장 2큰술, 식초 1작은술, 통깨 1작은술",한식,400kcal
46,해삼밥,"밥,죽,스프","불린쌀 1과1/2컵, 반건조해삼 2마리","당근 1/3개, 표고버섯 2장, 완두콩통조림 2큰술, 물 1과1/2컵",,한식,362kcal
47,현미땅콩죽,"밥,죽,스프","현미찹쌀 1/2컵, 생땅콩 1/4컵",소금 약간,,한식,295kcal
48,흑임자깨죽,"밥,죽,스프","밥 1공기, 불린쌀 2큰술, 흑임자 1/2컵","소금 1/2작은술, 물 3컵",,한식,251kcal
49,가지냉국,국,가지 2개,"다진파 약간, 깨소금 약간, 고춧가루 약간, 멸치 3마리, 다시마(5cm x 5cm) 1장, 소금 약간","다진마늘 1작은술, 식초 2큰술, 국간장 2큰술, 설탕 1큰술",한식,64kcal
50,감자국,국,"북어포 1/2마리, 감자 2개, 양파 1/2개","마늘 2쪽, 다시마(10cm x 10cm) 1장, 육수용 멸치 반줌","국간장 2큰술, 소금 약간, 참기름 약간",한식,84kcal
51,계란실파국,국,계란 2개,"실파 4뿌리, 멸치 3마리, 다시마(5cm x 5cm) 1장","국간장 1큰술, 소금 약간, 후춧가루 약간, 물 7컵",한식,82kcal
52,굴비매운탕,국,굴비 2마리,"무 200g, 콩나물 50g, 대파 1/2개, 표고버섯 2개, 팽이버섯 1/2팩, 미나리 50g, 양파 1/2개, 애호박 1/3개, 홍고추 1개, 풋고추 1개, 두부 1모, 쑥갓 50g","굵은고춧가루 2큰술, 고운고춧가루 1큰술, 간장 1큰술, 마늘 1큰술, 정종 1큰술, 생강 2작은술",한식,285kcal
53,근대된장국,국,근대 200g,"쇠고기(사태) 30g, 멸치 한줌","다진마늘 1큰술, 대파 1/4뿌리, 고춧가루 1작은술, 된장 1작은술, 고추장 1/2큰술",한식,42kcal
54,김치홍합국,국,"김치 1/4포기, 홍합 1/2컵","대파 1뿌리, 홍고추 1개","멸치(장국용) 10마리, 물 6컵, 마늘 약간, 고춧가루 1/2큰술, 소금 약간",한식,129kcal
55,냉이조갯국,국,"냉이 200g, 모시조개 200g","쌀뜨물 4컵, 물 3컵","된장 3큰술, 다진마늘 1큰술",한식,95kcal
56,다시마냉국,국,다시마(5cm x 10cm) 2장,"오이 1/2개, 홍고추 1개, 물 5컵","다진파 1/2작은술, 다진마늘 1/4작은술, 소금 약간, 고춧가루 약간, 깨소금 약간",한식,63kcal
57,닭개장,국,닭 1/2마리,"고사리 15g, 우엉대 15g, 생강 2쪽","대파 1뿌리, 마늘 2쪽, 고춧가루 2큰술, 간장 2큰술, 후춧가루(가루) 약간, 깨소금 약간, 다진파(다진것) 2큰술, 다진마늘 1큰술, 고춧기름 1큰술, 참기름 약간",한식,168kcal
58,두부새우젓국,국,"두부 1모, 굴 200g","실파 8뿌리, 홍고추 2개","새우젓 20g, 다진마늘 2작은술, 참기름 1작은술, 소금 약간",한식,65kcal
59,두부조개탕,국,"두부 1/2모, 모시조개 200g, 북어 30g","콩나물 50g, 홍고추 1개, 실파 3뿌리, 밀가루 1큰술, 계란 1개","마늘 1큰술, 소금 약간, 후춧가루 약간",한식,130kcal
60,두붓국,국,"두부 1모, 쇠고기 100g",파 1뿌리,"다진마늘 1큰술, 고추장 1큰술, 참기름 1작은술, 진간장 조금, 소금 조금, 후춧가루 조금",한식,120kcal
61,떡국,국,"가래떡 500g, 쇠고기 육수 8컵, 쇠고기(우둔) 100g","대파 1뿌리, 계란 1개, 소금 약간","간장 1큰술, 설탕 1/2큰술, 다진파 2작은술, 다진마늘 1작은술, 깨소금 1작은술, 참기름 1작은술, 후춧가루 약간",한식,430kcal
62,맑은대구탕,국,생대구 1/2마리,"두부 1/4모, 홍고추 1/2개, 팽이버섯 1/4봉, 청고추 1/2개","다시마 약간, 가쓰오브시 약간, 미나리 10g, 마늘 5쪽, 소금 약간",한식,165kcal
63,무국,국,"쇠고기(양지) 120g, 무 400g","실파 3뿌리, 다시마 1장","다진마늘(10cm X 10cm) 1작은술, 국간장 2큰술, 소금 1큰술, 후춧가루 약간, 참기름 약간",한식,75kcal
64,무맑은국,국,"쇠고기 120g, 무 400g","실파 20g, 물 5컵","마늘 1작은술, 국간장 1큰술, 소금 1큰술, 참기름 약간, 후춧가루 약간",한식,75kcal
65,미역국,국,"미역(불린것) 2컵, 다진쇠고기 150g","식용유 약간, 물 10컵","마늘 1큰술, 후춧가루 약간, 국간장 2큰술, 참기름 2큰술",한식,95kcal
66,미역냉국,국,불린미역 2컵,"오이 1/2개, 물 10컵","대파 1/2뿌리, 다진마늘 1/2작은술, 깨소금 약간, 소금 약간, 고춧가루 약간, 간장 2큰술",한식,82kcal
67,배추속댓국,국,"배추(속대) 200g, 무 1/4개, 쇠고기(사태) 60g","물 8컵, 대파 1/2뿌리, 식용유 약간, 고추장 2작은술, 된장 2큰술, 소금 약간","다진파 1작은술, 다진마늘 1작은술, 참기름 1작은술, 깨소금 1작은술, 후춧가루 약간",한식,98kcal
68,부추재첩국,국,"부추 1/2단, 재첩 100g","물 3컵, 정종 1큰술","다진마늘 1/2작은술, 소금 약간, 후춧가루 약간",한식,84kcal
69,북어국,국,"통북어 2마리, 콩나물 40g, 두부 1/2모","계란 2개, 대파 1뿌리, 물 8컵, 홍고추 1개","다진마늘 2작은술, 소금 약간, 후춧가루 약간, 참기름 약간",한식,123kcal
70,생태매운탕,국,"생태 1마리, 바지락 50g, 무 50g","호박 30g, 두부 50g, 팽이버섯 1/2봉지, 미나리 50g, 청고추 1/2개, 홍고추 1/2개, 대파 1/2뿌리, 멸치다시물 3컵","소금 약간, 후춧가루 약간, 진간장 약간, 고춧가루 3큰술, 다진마늘 3큰술, 양파즙 2큰술, 무즙 2큰술",한식,224kcal
71,시금치된장국,국,"시금치 300g, 말린새우 30g, 된장 3큰술",물 7컵,"다진마늘 1큰술, 소금 약간",한식,130kcal
72,아구탕,국,"아구 1/2마리, 콩나물 50g","고사리 한줌, 미나리 한줌, 깻잎 4장, 청고추 2개, 홍고추 1개, 대파 3뿌리, 물 5컵","된장 2큰술, 다진마늘 1/2큰술, 고춧가루 약간, 후춧가루 약간",한식,178kcal
73,아욱국,국,아욱 200g,"쌀뜨물 5컵, 모시조개 10개, 대파 약간","된장 2과1/2큰술, 멸치 4마리, 마늘 1/2큰술, 후춧가루 약간",한식,110kcal
74,양배춧국,국,"양배추 100g, 모시조개 1봉지",실파 1뿌리,"된장 4큰술, 다진마늘 1큰술, 물 6컵, 다시마(10cm x 10cm) 1장, 멸치 한줌",한식,90kcal
75,어묵국,국,어묵 150g,"대파 1뿌리, 홍고추 1개, 다시물 4컵","소금 약간, 간장 2큰술, 맛술 1큰술, 청주 1큰술",한식,108kcal
