food_number,food_name,recipe,serving_number,level
1,견과류 영양솥밥,"1. 쌀을 씻어 30분 정도 물에 불려둔다.
2. 은행은 볶아 껍질을 벗긴다.
3. 밤은 껍질을 벗기고 대추는 깨끗이 씻어둔다.
4. 쌀과 밤을 넣고 밥을 짓다가 한소끔 끓어오르면 대추, 은행, 잣을 넣고 약한 불로 뜸을 들인다.
레시피 출처 : 월간 헬스조선 / 대추나 잣, 호두 등의 견과류는 오랫동안 익힐 필요가 없다. 대추는 무르거나 퍼질 수 있으므로 밥을 다 한 뒤 뜸들일 때 넣는다.",4인분 기준,초보환영
2,굴밥,"1. 쌀과 보리쌀을 깨끗이 씻어 물에 30분 동안 담가둔다.
2. 굴은 소금물에 흔들어 씻은 뒤 물기를 뺀다. 찐 어묵은 0.2cm 두께로 썬다.
3. 마른 표고버섯은 따뜻한 물에 불려 밑동을 없애고 물기를 꼭 짠 다음 잘게 다진다.
4. 당근은 잘게 다진다.
5. 쌀과 보리쌀은 깨끗이 씻어 물에 30분 간 불린다.
6. 불린 쌀과 보리 쌀은 체에 밭쳐 물기를 뺀다.
7. 냄비에 불린 쌀과 보리쌀, 굴, 찐어묵, 표고버섯, 당근, 완두콩, 소금을 넣어 섞은뒤 물 1과 1/2컵을 넣어 밥을 한다.",2인분 기준,초보환영
3,김치볶음밥,"1. 김치는 1cm 크기로 썰고 햄, 양파, 감자도 1cm 정도의 크기로 잘게 썬다.
2. 프라이팬에 기름을 두르고 김치와 감자를 볶다가 햄과 양파를 넣고 볶아준다.
3. 양파가 어느 정도 익으면 밥을 넣고 펴듯이 볶아준다.
4. 소금과 후춧가루로 간을 맞추고 계란프라이를 얹어 낸다.",2인분 기준,초보환영
4,꽃상추쌈,"1. 쇠고기, 양파는 다져서 준비한다.(양파는 다진 후 물기를 제거한다)
2. ①의 재료에 불고기 양념(간장 1/2큰술, 설탕 1/4큰술, 참기름, 깨소금, 다진 마늘, 다진 파)을 약하게 하여 고슬고슬하게 볶는다.
3. 뜨거운 밥을 준비하여 ②의 재료와 깨소금등을 넣어 양념한다.
4. 상추는 한 입 크기 정도로 손으로 찢어 준비한다.
5. 밥이 어느정도 식으면 한 입 크기로 찢어놓은 상추에 밥을 동글게 빚어 그 위에 올려놓는다.
6. 먹기 직전에 고추장을 약간 뿌린다.",2인분 기준,초보환영
5,녹두죽,"1. 녹두는 깨끗이 씻어 일어 건진 다음 물을 붓고 푹 삶아 체에 걸러 놓는다.
2. 쌀은 깨끗이 씻어 물에 불려 건져 놓는다.
3. 냄비에 녹두의 윗 물만 덜어 내어 붓고 쌀을 끓여 쌀알이 어느 정도 퍼지게 되면 녹두 앙금을 넣어 섞으면서 다시 한 번 끓인다. 녹두 앙금은 나중에 넣어 끓인다.
4. 쌀알이 잘 퍼지면 그릇에 담아 대추채를 고명으로 띄워내고, 기호에 따라 소금이나 설탕을 넣어서 먹는다.",2인분 기준,초보환영
6,단팥죽,"1. 팥은 쭉정이를 골라 내고 깨끗하게 씻어서 준비한다.
2. 냄비에 팥의 4배 정도의 물을 붓고 한소끔 끓이다가 팥물을 따라내 버린다.
3. 다시 냄비에 물을 팥의 4배 정도 넣고 끓이면서 소금을 약간 넣고 설탕량의 2/3 정도를 넣 고 팥알이 충분히 삶아질 수 있도록 약한 불에 은근히 끓인다.
4. 인절미를 네모나게 썰어 약간 굳힌 다음 석쇠에 놓고 살짝 부풀정도로 굽는다.
5. 나머지 설탕을 넣어서 팥알이 충분히 설탕맛이 배고 국물이 농축되면 그릇에 담고 구워 놓은 떡과 대추 고명을 얹어 낸다.",2인분 기준,초보환영
7,달래간장과 모둠버섯밥,"1. 다시마는 젖은 행주로 깨끗이 닦은 후 가장자리에 칼집을 낸다.
2. 표고버섯은 꽁지를 떼어버린 후 어슷썰고, 느타리는 찢어두고, 팽이버섯은 밑둥을 잘라낸다. 새송이버섯은 표고버섯과 비슷한 크기로 썰고 양송이버섯은 껍질을 벗기고 모양대로 슬라이스 한다.
3. 쌀은 깨끗이 씻어 불려둔다.
4. 밥솥 바닥에 ①의 다시마를 깔고 ②와 ③을 혼합하여 밥을 짓는다.
5. 달래는 깨끗이 다듬어 송송 썬 후 분량의 양념을 섞어 달래간장을 만든다.
6. 밥이 다 되면 그릇에 밥과 버섯을 고루 섞어서 담고 달래간장을 곁들인다.",2인분 기준,초보환영
8,닭날개주먹밥,"1. 찹쌀과 멥쌀은 씻어 30분 정도 불린 뒤 고슬고슬하게 밥을 짓는다.
2. ①의 밥에 소금과 검은깨를 넣어 섞는다.
3. 닭날개는 끝부분을 잘라버리고 살을 뼈의 한쪽 끝으로 발라 모은다.
4. 닭날개 조림간장을 끓이다 ③의 닭날개를 넣어 조린다.
5. 랩을 깔고 ②의 밥을 적당량 펼친 뒤 조린 닭날개를 넣어 동그랗게 감싼다.",4인분 기준,초보환영
9,닭안심죽,"1. 팽이버섯은 송송 썰고 다진 닭고기를 버터에 볶아 살짝 익힌다.
2. 닭고기가 반쯤 익으면 밥을 넣어 볶는다.
3. 밥을 넣어 볶다 물을 부어 중불에서 끓인다.
4. 밥이 퍼지면 옥수수알을 넣고 한소끔 끓인 후 그릇에 담아 낸다.
5. 닭을 삶아 국물은 육수로, 닭살은 가늘게 찢어 고명으로 사용해도 좋다.",2인분 기준,초보환영
10,대구계란죽,"1. 대구는 살만 발라 으깨고 대파는 어슷 썰어둔다.
2. 멸치를 물에 넣고 끓여 국물이 우러나면 건져낸다.
3. 우려낸 멸칫국물에 대구살과 대파를 넣고 끓이다가 쌀가루를 뿌리듯이 넣으며 저어준다.
4. 쌀가루가 익으며 걸죽해지면 계란 노른자를 넣고 한소끔 더 끓인다.
5. 소금으로 간을 맞추고 참기름 한방울을 떨어뜨려 낸다.",1인분 기준,초보환영
11,돌솥비빔밥,"1. 애호박은 반달썰기를 하고 다진 파, 마늘, 소금, 깨소금으로 양념하여 기름에 볶은 다음 참기름을 넣는다.
2. 취나물은 손질하여 등분한 뒤 다진 파, 마늘, 깨소금, 간장을 넣어 무친 다음 팬에 기름을 넉넉히 넣고 부드럽게 볶은 후 참기름을 넣는다.
3. 시금치는 다듬어 씻은 후 끓는 물에 살짝 데친 후 등분하여 다진 파, 마늘, 간장, 소금, 깨소금, 참기름을 넣어 양념한다.
4. 도라지는 가늘게 찢어 끓는 물에 삶아 기름에 볶으면서 다진 파, 깨소금, 소금, 참기름으로 양념한다.
5. 고사리는 다듬어 등분하여 다진 파, 마늘, 간장, 깨소금, 후춧가루, 참기름으로 양념하고 기름에 볶다가 물을 약간 넣어 부드럽게 익힌다.
6. 상추는 채썰어 찬물에 담가두어 싱싱하게 한다.
7. 쇠고기는 우둔살로 준비해 곱게 채썰어 간장, 설탕, 참기름에 무쳐 육회를 만든다.
8. 김은 구워 곱게 채 썰어 준비한다.
9. 돌솥에 밥을 담고 준비한 위 재료를 보기 좋게 얹은 뒤 고추장을 곁들여 육수를 약간 붓고 뜨겁게 달군 후 비빈다.",2인분 기준,초보환영
12,두부밥부침,"1. 두부는 으깨서 물기를 제거한다.
2. 양파, 당근, 대파, 마늘은 잘게 다져 준비한다.
3. 볼에 ①, ②, 찬밥을 넣은 후 계란과 밀가루를 넣고 농도가 잘 맞도록 반죽을 한다. (소금, 후춧가루, 맛술을 약간씩 넣어 밑간을 한다.)
4. 기름 두른 팬에 반죽한 것을 한 수저씩 떠서 노릇노릇하게 지져낸다.",2인분 기준,초보환영
13,무죽,"1. 쌀은 깨끗이 씻어서 마지막 씻은 물은 남겨두고 쌀만 건져 물기를 뺀다.
2. 무는 1/3은 0.5cm로 깍둑썰고 나머지는 강판에 곱게 간다.
3. 냄비에 참기름을 넣고 쌀, 깍둑썬 무를 넣고 타지 않게 볶아준다.
4. ③이 볶아지면 ②의 간 무와 ①의 쌀뜨물을 넉넉하게 붓고 약불에서 오래 끓인다.
5. ④가 끓어서 쌀이 퍼지면 소금으로 간을 하고 통깨를 뿌려낸다.",2인분 기준,초보환영
14,무청밥,"1. 불린 쌀은 체에 밭쳐 물기를 뺀다.
2. 삶은 무청은 2cm 길이로 잘라 간장, 참기름으로 밑간한다.
3. 냄비에 모든 재료를 담은 후 물 1과1/2컵을 넣어 밥을 짓는다.",2인분 기준,초보환영
15,미니김밥,"1. 쌀은 씻어서 체에 건져 밥을 고슬하게 짓는다.
2. 밥이 뜨거울 때 참기름, 소금, 깨소금으로 간을 한다.
3. 김은 참기름을 살짝 바르고 구워서 반으로 자른다.
4. 계란은 잘 풀어 소금 간을 한 다음 파를 곱게 다져 섞어준다.
5. 김에 2/3까지 밥을 놓고 돌돌 만다.
6. 달구워진 프라이팬에 기름을 둘러 계란물을 붓고 그 위에 김밥을 얹은 다음 계란이 거의 익었을 때 말아서 겉을 노릇하게 지져낸다.",2인분 기준,초보환영
16,버섯덮밥,"1. 쇠고기는 채썰어 분량의 양념에 재워둔다.
2. 느타리와 표고버섯은 끓는 물에 데쳐 가늘게 찢고 양송이버섯은 껍질을 벗겨 얇게 썰고, 목이버섯은 물에 불려 씻은 후 먹기 좋게 뜯어 놓고 팽이버섯은 밑둥을 잘라낸다.
3. 양파는 가늘게 채썰고 풋고추, 당근은 길이 4cm, 두께 0.3cm로 채썰고, 미나리는 다듬어 4cm 길이로 준비하고 쇠고기는 야채와 같은 크기로 채썰어 준비한다.
4. 프라이팬에 식용유를 두르고 양파를 볶다가 투명해지면 고기를 넣어 볶아준다.
5. 당근과 준비된 버섯을 넣고 간장, 설탕, 청주를 넣어 살짝 볶는다.
6. ⑤에 육수와 녹말가루를 섞어 자작하게 붓고 미나리와 들깨가루를 넣은 후 참기름, 후춧가루로 마무리한다.
7. 따뜻한 밥 위에 ⑥을 담아 낸다.",4인분 기준,초보환영
17,버섯죽,"1. 쌀을 씻어 불려 놓는다.
2. 갖가지 버섯을 잘게 썰어 놓는다.
3. 냄비에 쌀을 넣고 쌀에 참기름이 충분히 배일정도로 볶는다.
4. 볶은 쌀에 10배 정도의 찬물을 붓는다.
5. 물이 반정도 줄어들면 썰어 놓은 버섯을 넣는다.
6. 걸쭉해지면 소금과 조미료로 간을 한다.
7. 그릇에 담아 내고 위에 김을 썰어 올려준다.",2인분 기준,초보환영
18,새우죽,"1. 새우는 꼬치로 등쪽의 내장을 빼고, 옅은 소금물에 씻은 뒤 물기를 제거하고 굵게 다진다.
2. 쌀은 씻어 물에 충분히 불린 뒤 건져 물기를 뺀다.
3. 냄비에 참기름을 두르고 다진 새우와 쌀을 넣고 볶다가 쌀알이 투명해지면 물을 붓고 끓인다.
4. 한소끔 끓어 오르면 불을 약하게 한 뒤 쌀알이 푹 퍼지도록 끓인다.
5. 쌀알이 퍼지면 소금으로 간을 하고 그릇에 담는다.",2인분 기준,초보환영
19,색색주먹밥,"1. 다진 쇠고기는 갖은 양념을 한 뒤 프라이팬에서 식용유를 두르고 볶는다.
2. 김치도 잘게 다져 갖은 양념을 해 놓는다.
3. 밥은 뜨거울 때 참기름, 소금으로 밑간을 해 놓는다.
4. 밥을 한 입 크기로 잡고 안에 쇠고기를 넣은 것, 김치를 넣은 것, 겉에 후리가케를 묻힌 것 등으로 여러가지 주먹밥을 만든다.
5. 여기에 무순, 치즈, 김 등으로 장식을 하고 우메보시를 곁들여 먹는다.",2인분 기준,초보환영
20,송어상추까나페,"1. 밥에 참기름, 깨소금을 넣어 비벼 한 입 크기로 동그랗게 만든다.
2. ①을 상추에 싸고 그 위에 송어회를 얹는다.
3. 초고추장, 콩가루를 뿌린다.",4인분 기준,초보환영
21,쇠고기김치말이,"1. 쇠고기는 곱게 다져서 밑간을 약하게 한 후 끈기있게 치댄다.
2. 김치는 속을 털어 내 물기를 살짝 짜내고 양파, 당근, 피망은 다진다.
3. 팬에 식용유를 두르고 양파, 당근을 볶다가 밥을 넣어 계속 볶은 뒤 피망과 검은깨를 넣고 소금, 후춧가루로 간을 맞춘다.
4. 알루미늄 호일에 쇠고기를 깔고 그 위에 김치를 깐다.
5. 볶은 밥을 ④에 올려 놓고 말아 준 뒤 알루미늄 호일에 싼다.
6. 오븐 팬에 ⑤를 놓고 230℃ 정도에서 20분간 익힌다.",2인분 기준,초보환영
22,쇠고기김치말이밥,"1. 쇠고기는 키친타올로 핏물을 제거한 후 18cm x 15cm, 두께 0.5cm로 저며 소금, 후춧가루로 밑간한다.
2. 김치는 물기를 제거해 다지고 양파, 피망, 당근도 곱게 다진다.
3. 프라이팬에 기름을 두르고 찬밥을 볶다가 김치, 양파, 피망, 당근을 넣어 가볍게 볶은 후 소금, 후춧가루로 간한다.
4. 김발 위에 쇠고기를 편 후 준비한 ③을 올리고 돌돌 말아준다.
5. 190℃로 예열한 오븐에 25~30분간 구워낸 후 한 김 식혀 잘라 접시에 담는다.",2인분 기준,초보환영
23,쇠고기덮밥,"1. 쇠고기는 불고기용으로 손질하여 간장, 맛술, 설탕, 참기름, 깨소금, 다진 파, 다진 마늘로 양념하여 준비한다.
2. 양파, 대파, 표고버섯은 채썰어 준비한다.
3. 기름두른 팬에 양념한 쇠고기를 볶다가 양파, 대파, 표고버섯을 같이 볶아준다.
4. 프라이팬에 밥을 넣고 소금, 깨소금, 참기름을 약간 넣고 볶아준다.
5. 접시에 밥과 볶은 불고기를 함께 낸다.",2인분 기준,초보환영
24,쇠고기말이밥,"1. 쇠고기는 샤부샤부용으로 얇게 준비하여 마늘, 소금, 후추, 깨소금, 설탕, 참기름으로 간하여 준비한다.
2. 고슬하게 지은 밥에 소금, 참기름, 깨소금 등으로 밑간한다.
3. 시금치는 깨끗하게 씻어 살짝 한 번 데친 후 찬물에 식힌 후 ①번과 같이 간한다.
4. 오이피클도 손가락 크기정도로 썰어놓는다.
5. 김발에 ①번 쇠고기를 찢어지지 않도록 깔고 녹말가루를 살짝 뿌려준 후 그 위에 밥을 2/3정도 깐 다음 시금치, 오이피클을 넣고 김밥처럼 말아준다.
6. ⑤번 쇠고기말이밥을 오븐에 굽거나 프라이팬에 기름을 두르고 돌려가며 노릇하게 지져낸다.
7. ⑥번이 한김 나간 후 먹기좋은 크기로 썰어놓는다.",2인분 기준,초보환영
25,수삼영양밥,"1. 찹쌀, 멥쌀, 흑미, 차조는 씻어 물에 불려둔다.
2. 밤은 껍질을 까 준비하고, 대추는 돌려깎기 하여 길이대로 썰어 준비한다.
3. 완두콩은 물에 불려 삶아내고 수삼은 흙을 털어낸다.
4. 준비된 재료는 냄비에 앉혀 물을 자작하게 부은 다음 10분간 끓이고 10분간 뜸을 들이는데, 이때 꿀을 넣어 섞어준다.",2인분 기준,초보환영
26,시금치된장죽,"1. 불린쌀은 1/2정도 으깬다.
2. 시금치는 한 번 데친 후 잘게 썬다.
3. 다시마와 가쓰오브시로 국물을 우려낸다.
4. 쇠고기는 다져놓는다.
5. 냄비에 참기름을 두르고 쇠고기를 볶다가 불린쌀을 넣는다.
6. ③번 국물을 ⑤에 넣은 후 일본된장을 1/2큰술을 넣은 후 한소끔 끓인다.
7. 어느 정도 쌀이 퍼지면 시금치를 넣는다.
*죽을 끓일 때 물의 양은 쌀의 양의 6~7배 정도로 잡는다.
*일본된장 대신 한식된장을 할경우에는 양을 1/4큰술로 잡는다.",2인분 기준,초보환영
27,양송이버섯죽,"1. 찹쌀을 2시간 정도 불린다.
2. 양송이버섯은 껍질을 벗기고 모양을 살려서 썬다.
3. 호박, 당근, 실파, 깻잎은 깨끗이 씻은 후 3㎝ 길이로 채썬다.
4. 불린 찹쌀은 방망이로 쌀알이 1/2정도가 되도록 부순다.
5. 냄비에 참기름을 두르고 ④를 볶다가 물을 붓고 끓인다.
6. 쌀알이 퍼지면 썰어 놓은 채소를 넣고 한번 더 끓여 소금으로 간한다.",2인분 기준,초보환영
28,오곡밥쌈밥정식,"1. 오곡곡물(보리,팥,조 등)은 박박 문질러 씻은 후 물에 담가 오랫동안 불렸다가 푹 퍼지도록 뜸을 들여 밥을 짓는다.
2. 상추, 깻잎, 치커리 등 여러 가지 쌈을 골고루 준비해 흐르는 물에 깨끗이 씻은 후 냉장고에 넣어 싱싱하게 준비해놓는다.
3. 냄비에 기름을 넣고 다진 멸치와 청고추, 홍고추, 양파, 대파, 마늘을 넣어 볶다가 된장, 고추장을 넣어 잘 섞으면서 볶는다.
4. 쌈장이 바글바글 끓으면 물을 자작하게 붓고 끓이다가 깨소금과 참기름을 넣어 골고루 섞는다.
5. 준비해 둔 쌈과 쌈장, 오곡밥을 곁들인다.",2인분 기준,초보환영
29,오곡주먹밥,"1. 찹쌀, 조, 수수, 콩, 쌀은 30분 정도 물에 불려놓는다.
2. 불려놓은 팥은 끓는 물에 삶아 1/2정도 익힌다.
3. ①과 ②을 섞어 팥 삶은 물을 부어 밥을 짓는다.
4. 다진 쇠고기에 분량의 양념을 하여 프라이팬에 볶아낸다.
5. 오곡밥이 다 되면 한김 나가게 식혀준다.
6. 오곡밥 70g 정도를 쥐고 안에 ④의 볶아놓은 쇠고기를 조금 넣어 모양을 동그랗게 잡아준다.
7. 미나리는 식초 한 방울 넣은 끓는 물에 살짝 데쳐 찬물에 식혀준다.
8. 김은 세로 10cm, 가로 1cm 정도로 잘라놓는다.
9. ⑥번의 모양을 잡은 오곡주먹밥을 미나리와 김으로 묶어준다.
***밥을 지을때 약간의 소금을 넣어주면 밥맛이 더 좋아진다.",2인분 기준,초보환영
30,옥수수죽,"1. 쌀을 씻어 물에 불려 놓은 뒤 체에 밭쳐 물기를 빼 놓는다.
2. 스위트콘은 체에 밭쳐 물기를 빼 놓은 후 믹서기에 곱게 갈아 놓는다.
3. 달군 냄비에 참기름을 넣고 ①의 쌀을 넣은 후 쌀이 투명해 질 때까지 볶다가 물을 붓는다.
4. ③에 갈아 놓은 스위트콘을 넣고 끓기 시작하면 불을 약하게 줄인후 쌀이 퍼질 때까지 끓인다.
5. 소금, 참기름, 실파 썰은 것을 넣고 낸다.",2인분 기준,초보환영
31,우렁된장쌈밥,"1. 우렁은 흐르는 물에 잘 씻어 건져둔다.
2. 호박, 고추, 양파, 대파는 모두 우렁살 크기 만하게 썰어둔다.
3. 작은 뚝배기에 썰어 놓은 채소와 된장을 넣고 국물용 멸치 간 것을 넣어 자작하게 끓여준다.
4. 여기에 고춧가루를 넣어 농도를 조절하고 매콤한 맛을 더해준다.
5. 쌈용 채소는 잘 씻어 체에 얹고 물기를 거두어 차게 보관한다",2인분 기준,초보환영
32,우엉시금치죽,"1. 우엉은 껍질을 벗기고, 당근은 깨끗이 손질한 후 쌀알 크기로 다진다.
2. 시금치는 0.5cm 길이로 송송 썬다.
3. 팬에 참기름을 두르고 불린 쌀과 ①을 넣고 달달 볶는다.
4. 쌀알이 투명해지기 시작하면 분량의 물을 넣고 뭉근하게 끓인다.
5. 쌀이 충분히 익으면 ②를 넣고 다시 한번 끓인 후 소금 간을 해 그릇에 담아낸다.",4인분 기준,초보환영
33,웰빙비빔밥,"1. 보리쌀은 쌀과 불려서 함께 사용할 수 잇는 할맥이나 압력된 보리쌀을 구입하여 밥을 짓는다.
2. 콩나물은 씻어 끓는 물에 소금을 넣고 살짝 데친 후 찬물에 담가 물기를 거두고 들기름, 소금, 깨소금을 넣고 무친다.
3. 부추는 4cm 길이로 잘라 간장, 식초, 설탕, 깨소금, 고춧가루를 2:1:1:1:1/2의 비율로 넣고 무친다.
4. 보리밥을 담고 콩나물과 부추를 차례대로 올리고 구운 김을 곱게 채썰어 올린다.
5. 쌈장, 고추장, 다진 양파, 다진 청양고추, 참기름을 1:1:1:1:1/2의 비율로 섞어 비빔장을 만든다.
6. 취향에 맞게 비빔장을 넣고 비빈다.",2인분 기준,초보환영
34,전복죽,"1. 쌀은 씻어 물에 불린 뒤 믹서에 넣고 너무 곱지 않게 간다.
2. 솔로 전복 살을 깨끗이 문질러 씻고 숟가락을 이용해 껍질을 분리한다. 내장을 제거한 뒤 굵직하게 저며 썬다.
3. 달군 냄비에 참기름을 두르고 준비한 전복을 넣고 볶다가 쌀과 물 5컵을 붓고 중 불에서 은근히 끓인다.
4. 쌀알이 푹 퍼지면 소금 간을 한 뒤 그릇에 담은 다음, 채 썬 김과 송송 썬 실파를 고명으로 얹는다.",2인분 기준,초보환영
35,죽순죽,"1. 쌀은 충분히 불려서 믹서에 넣고 너무 곱지 않게 갈아준다.
2. 죽순은 쌀뜨물에 데쳐 껍질을 벗기고 2cm 길이로 납작하게 썬다.
3. 쇠고기는 얇팍하게 썰어 간장, 통후추, 설탕, 참기름으로 버무려둔다.
4. 냄비에 쇠고기와 죽순을 넣어 볶다가 물을 부어 끓인다.
5. 국물맛이 우러나면 쌀을 넣고 약한 불에서 죽이 바닥에 눌지 않게 나무주걱으로 저어가며 끓인다.
6. 쌀알이 푹 퍼지면 간장으로 간을 맞춘다.",4인분 기준,초보환영
36,참치김초밥,"1. 밥은 고슬하게 준비한다.
2. 식초 2큰술, 설탕 1과 1/2큰술, 소금 1작은술을 넣고 배합초를 살짝 끓여 밥과 섞어준다.
3. 깻잎은 씻어 물기를 제거한다.
4. 김밥 안에 들어가는 당근, 우엉, 계란, 시금치, 단무지 등을 적당하게 준비한다.
5. 참치는 체에 밭쳐 기름을 제거한다.
6. 김발에 김을 깔고 배합초 섞은 밥을 깐 다음 가운데 시금치를 놓고 그 위에 참치 등의 속재료를 넣어 말아준다.
7. 먹기 좋은 크기로 썰어준다.",4인분 기준,초보환영
37,참치주먹밥,"1. 참치통조림은 체에 밭쳐 기름기를 제거한다.
2. 단무지는 곱게 다진다.
3. 고슬고슬하게 지은 밥과 단무지, 후리카케, 참치, 참기름, 깨소금을 넣어 잘 섞는다.
4. ③번 밥을 적당한 크기로 만들고 중간에 김띠를 둘러 장식한다.",2인분 기준,초보환영
